id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
755,0,1,6,15,-1,18,-1,-1,0
756,1,0,6,14,1,4,-1,-1,0
757,1,0,6,11,1,2,-1,-1,0
758,0,1,6,11,-1,18,-1,-1,0
759,1,0,6,11,1,4,-1,-1,0
760,1,0,6,16,1,2,-1,-1,0
761,0,1,6,16,-1,18,-1,-1,0
762,1,0,6,15,1,4,-1,-1,0
763,1,0,6,13,1,2,-1,-1,0
764,0,1,6,13,-1,18,-1,-1,0
765,1,0,6,12,1,4,-1,-1,0
766,1,0,6,16,1,2,-1,-1,0
767,0,1,6,16,-1,18,-1,-1,0
768,1,0,6,16,1,4,-1,-1,0
769,1,0,6,17,1,2,-1,-1,0
770,0,1,6,17,-1,18,-1,-1,0
771,1,0,6,16,1,4,-1,-1,0
772,1,0,6,16,1,2,-1,-1,0
773,0,1,6,16,-1,18,-1,-1,0
774,1,0,6,15,1,4,-1,-1,0
775,1,0,6,5,1,2,-1,-1,0
776,0,1,6,5,-1,18,-1,-1,0
777,1,0,6,4,1,4,-1,-1,0
778,1,0,6,16,1,2,-1,-1,0
779,0,1,6,16,-1,18,-1,-1,0
780,1,0,6,15,1,4,-1,-1,0
781,1,0,6,15,1,2,-1,-1,0
782,0,1,6,15,-1,18,-1,-1,0
783,1,0,6,15,1,4,-1,-1,0
784,1,0,6,15,1,2,-1,-1,0
785,0,1,6,14,-1,18,-1,-1,0
786,1,0,6,14,1,4,-1,-1,0
787,0,1,6,15,-1,18,-1,-1,0
788,1,0,6,15,1,4,-1,-1,0
789,1,0,6,14,1,2,-1,-1,0
790,1,0,6,12,1,2,-1,-1,0
791,0,1,6,12,-1,18,-1,-1,0
792,1,0,6,12,1,4,-1,-1,0
793,1,0,6,14,1,2,-1,-1,0
794,0,1,6,14,-1,18,-1,-1,0
795,1,0,6,13,1,4,-1,-1,0
796,1,0,6,15,1,2,-1,-1,0
