protocal,count,port,flag,type,attack,srcip
6,2,443,24,-1,0,-1
6,1,443,17,-1,0,-1
17,2,46092,-1,-1,0,-1
6,49,58574,24,-1,0,-1
6,6,54752,16,-1,0,-1
6,23,43350,24,-1,0,-1
6,129,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,207,443,16,-1,0,-1
6,4,55232,24,-1,0,-1
17,2,53,-1,-1,0,-1
6,4,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,4,443,24,-1,0,-1
6,1,55232,18,-1,0,-1
6,4,443,16,-1,0,-1
6,7,443,16,-1,0,-1
6,125,43350,16,-1,0,-1
6,192,58574,16,-1,0,-1
6,1,56936,16,-1,0,-1
6,6,55232,16,-1,0,-1
6,4,54752,24,-1,0,-1
6,2,443,24,-1,0,-1
6,1,55232,20,-1,0,-1
6,5,44790,24,-1,0,-1
6,5,443,16,-1,0,-1
6,3,44790,16,-1,0,-1
6,2,443,24,-1,0,-1
6,1,443,17,-1,0,-1
17,2,46092,-1,-1,0,-1
6,49,58574,24,-1,0,-1
6,6,54752,16,-1,0,-1
6,23,43350,24,-1,0,-1
6,129,443,16,-1,0,-1
6,1,443,24,-1,0,-1
6,207,443,16,-1,0,-1
6,4,55232,24,-1,0,-1
6,1,56936,24,-1,0,-1
17,4,53,-1,-1,0,-1
6,8,443,24,-1,0,-1
6,4,54824,16,-1,0,-1
6,1,443,16,-1,0,-1
6,1,54824,18,-1,0,-1
6,1,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,2,-1,0,-1
6,6,443,16,-1,0,-1
6,6,443,16,-1,0,-1
17,4,46190,-1,-1,0,-1
6,1,43272,16,-1,0,-1
6,1,56936,16,-1,0,-1
6,1,54752,25,-1,0,-1
6,1,54752,24,-1,0,-1
6,2,443,17,-1,0,-1
6,5,443,24,-1,0,-1
6,1,55232,20,-1,0,-1
6,1,443,16,-1,0,-1
6,10,44790,24,-1,0,-1
6,8,44790,16,-1,0,-1
6,1,43272,24,-1,0,-1
17,2,56953,-1,-1,0,-1
6,3,54824,24,-1,0,-1
6,2,443,4,-1,0,-1
17,2,53,-1,-1,0,-1
6,1,80,24,-1,0,-1
6,7,54752,16,-1,0,-1
6,1,43352,16,-1,0,-1
6,2,34490,24,-1,0,-1
6,2,443,24,-1,0,-1
6,2,34490,16,-1,0,-1
6,1,80,16,-1,0,-1
6,1,56936,24,-1,0,-1
17,4,53,-1,-1,0,-1
6,9,443,24,-1,0,-1
6,4,54824,16,-1,0,-1
6,1,54824,18,-1,0,-1
6,2,443,16,-1,0,-1
6,1,53116,16,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,2,-1,0,-1
6,6,443,16,-1,0,-1
6,6,443,16,-1,0,-1
17,4,46190,-1,-1,0,-1
6,41,58574,16,-1,0,-1
6,1,43272,16,-1,0,-1
6,1,54752,25,-1,0,-1
6,1,54752,24,-1,0,-1
6,2,443,17,-1,0,-1
6,5,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,2,53114,16,-1,0,-1
6,11,44790,24,-1,0,-1
6,9,44790,16,-1,0,-1
6,1,43272,24,-1,0,-1
6,8,58574,24,-1,0,-1
17,2,56953,-1,-1,0,-1
6,1,80,16,-1,0,-1
6,1,443,24,-1,0,-1
6,3,54824,24,-1,0,-1
6,2,443,4,-1,0,-1
17,2,53,-1,-1,0,-1
6,1,80,24,-1,0,-1
6,7,54752,16,-1,0,-1
6,1,43352,16,-1,0,-1
6,2,34490,24,-1,0,-1
6,2,443,24,-1,0,-1
6,2,34490,16,-1,0,-1
6,48,443,16,-1,0,-1
6,1,80,16,-1,0,-1
6,2,443,16,-1,0,-1
